video_id,title,published_at,views,likes,comments,tags,channel_id,duration_seconds
gz2j5NBESSs,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29T10:30:17Z,7193,276,159,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'working remote', 'pros and cons of working remote', 'pros of working remote', 'cons of working remote', 'is working remote good', 'working remotely']",UC7cs8q-gJRlGwj4A8OmCmXg,2930
opJgMj1IUrc,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22T10:30:15Z,1100773,22521,1246,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorial', 'excel for data analysts', 'excel for data science', 'excel project', 'excel project for data analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,2450
yRWkSKRYCaI,Top 5 Non-Technical Skills for Data Analysts,2022-03-15T10:30:18Z,22398,825,72,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'soft skills', 'soft skills for data analyst', 'soft skills for data science', 'soft skills for data analysts', 'non-technical skills', 'non-technical skills for data science', 'non-technical skills for data analysts']",UC7cs8q-gJRlGwj4A8OmCmXg,990
_jmiEGZ6PIY,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01T11:30:14Z,733652,14619,358,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data cleaning in excel', 'excel for data analysts', 'data cleaning', 'excel data cleaning', 'how to clean data in excel', 'cleaning data in excel', 'excel']",UC7cs8q-gJRlGwj4A8OmCmXg,1264
4A8LV6fObYA,Tableau Data Analyst Certification Review,2022-02-22T11:30:01Z,72419,1683,129,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau', 'tableau certifications', 'tableau data analyst', 'tableau data analyst certification', 'certifications for tableau', 'certification for Tableau', 'tableau in 2022', 'should I learn tableau', 'tableau in 2021']",UC7cs8q-gJRlGwj4A8OmCmXg,769
MPENhkuSo0Q,Job Title Alternatives for Data Analysts,2022-02-15T11:30:07Z,26593,1021,94,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst job title', 'data analyst alternatives', 'alternatives to data analyst', 'alternative job titles for data analysts', 'job title alternatives for data analysts']",UC7cs8q-gJRlGwj4A8OmCmXg,732
3irO29PJQHs,Best Coursera Courses for Data Analysts in 2022,2022-02-08T11:30:01Z,125498,5841,219,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'coursera', 'coursera for data analyst', 'data analyst courses', 'data analyst courses on coursera', 'data analyst coursera', 'data science coursera', 'data analyst courses coursera', 'coursera courses for data analysts', 'data scientist courses', 'data science courses']",UC7cs8q-gJRlGwj4A8OmCmXg,572
uHJFJUIYNAo,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01T11:30:10Z,21189,720,61,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst salary', 'salary for data analyst', 'salary negotiations', 'tech salary', 'analyst salary']",UC7cs8q-gJRlGwj4A8OmCmXg,450
gMAHXrty6wI,Charts in Excel | Excel Tutorials for Beginners,2022-01-25T11:30:18Z,197894,4618,94,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'excel for beginners', 'charts in excel', 'how to use charts in excel', 'excel charts']",UC7cs8q-gJRlGwj4A8OmCmXg,911
BIUFr9srS78,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18T11:30:02Z,23583,868,360,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how i became a data analyst', 'how I became a data manager', 'how I became an analytics manager', 'data analyst salary', 'analytics manager salary', 'analytics manager']",UC7cs8q-gJRlGwj4A8OmCmXg,2944
